"rewardDate","validator","validatorName","startEpoch","endEpoch","epochRange","epochsInDay","previousDayRewards","endOfDayRewards","dailyRewards","usd","gbp","eur","jpy","cny","inr","aud","krw"
"2021-12-23","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5335","5376","5335-5376","30","5872.614402195293","5908.989681536768","36.37527934147511","0.2619890333333333","0.19565976666666665","0.2312760333333333","29.945000000000004","1.668666666666666","19.711666666666666","0.36243359999999997",""
"2021-12-24","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5377","5417","5377-5417","17","5908.989681536768","5944.484276141622","35.49459460485377","0.2879369411764706","0.2148529411764706","0.2542718823529412","32.93352941176471","1.8341176470588234","21.61882352941177","0.3982088235294117",""
"2021-12-25","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5418","5459","5418-5459","42","5944.484276141622","5980.757124954282","36.272848812659504","0.28319492857142864","0.21153790476190476","0.250116880952381","32.39928571428571","1.802857142857143","21.271904761904757","0.39203857142857146",""
"2021-12-26","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5460","5500","5460-5500","41","5980.757124954282","6016.196210128284","35.439085174002685","0.28648741463414623","0.21396648780487804","0.2528296829268293","32.77414634146343","1.8241463414634151","21.57487804878049","0.3965677317073171",""
"2021-12-27","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5501","5542","5501-5542","42","6016.196210128284","6052.4731721949065","36.27696206662222","0.30078476190476194","0.22415909523809519","0.2656927857142856","34.49166666666666","1.9166666666666667","22.557142857142864","0.41599407142857153",""
"2021-12-28","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5543","5583","5543-5583","40","6052.4731721949065","6087.8778418669535","35.40466967204702","0.3019834","0.22473372499999997","0.26679307499999994","34.677250000000015","1.9242499999999996","22.57725","0.4172051249999999",""
"2021-12-29","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5584","5624","5584-5624","41","6087.8778418669535","6123.250674977215","35.372833110261126","0.285082243902439","0.21195165853658537","0.2519004146341463","32.76","1.8156097560975617","21.281951219512198","0.3940080487804878",""
"2021-12-30","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5625","5665","5625-5665","41","6123.250674977215","6158.61475020404","35.36407522682566","0.2579025609756098","0.19117004878048782","0.22771502439024383","29.68439024390244","1.6426829268292678","19.20219512195122","0.3554091219512195",""
"2021-12-31","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5666","5704","5666-5704","39","6158.61475020404","6192.162791613606","33.548041409565485","0.2578635128205128","0.19085507692307696","0.22737189743589745","29.677435897435892","1.6399999999999995","19.1848717948718","0.3551344871794871",""
"2022-01-01","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","5705","5735","5705-5735","31","6192.162791613606","6218.629752918976","26.466961305370205","0.2601323870967742","0.19224203225806452","0.22870893548387097","29.943870967741937","1.654193548387097","19.38354838709677","0.35808745161290323",""
