rewardDate,validator,validatorName,startEpoch,endEpoch,epochRange,epochsInDay,previousDayRewards,endOfDayRewards,dailyRewards,rewardCurrency
2022-04-08 23:59:59,rv1qgaftlzpdxaacv3jmf0x9vlys3ap0mngfea8gsedph4ckaya0gqe6h9mv6f,✅RadCrew,9973,10026,9973-10026,48,1350.9413874350394,1350.9413876123335,1.772941686795093e-7,EXRD
2022-04-08 23:59:59,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,9973,10026,9973-10026,48,2194.5053060298087,2218.629957071389,24.124651041580364,EXRD
2022-04-08 23:59:59,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,9973,10026,9973-10026,48,8829.533308350059,8865.279577956215,35.74626960615569,EXRD
2022-04-09 23:59:59,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8, 🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,10027,10081,10027-10081,54,1787.6165401697217,1807.0496302491665,19.43309007944481,EXRD
2022-04-09 23:59:59,rv1qdhvu7wf7ajpvhn8j4m9ptznkaktl5cru2lr5ep9qvze9e5sjqdxxhz9m3h,🔥 EasyStake (🇸🇬 SG),10027,10081,10027-10081,54,1091.3732466270303,1104.4392418734533,13.065995246422972,EXRD
2022-04-09 23:59:59,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,10027,10081,10027-10081,54,9026.644646583809,9062.978333317937,36.333686734127696,EXRD
2022-04-09 23:59:59,rv1qdx65px2g9j3gv9mq8vw0t6000zuvhydmgtthdjyf9ksnmu6ht6r2zaeq0f,⚡️Allnodes.com,10027,10081,10027-10081,54,5825.3376051699015,5848.70641377155,23.368808601648198,EXRD
2022-04-09 23:59:59,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,10027,10081,10027-10081,54,787.0237645496454,800.5147169382326,13.490952388587175,EXRD
2022-04-09 23:59:59,rv1qgaftlzpdxaacv3jmf0x9vlys3ap0mngfea8gsedph4ckaya0gqe6h9mv6f,✅RadCrew,10027,10081,10027-10081,54,1350.9413876123335,1350.9413877929935,1.8065998119709548e-7,EXRD
2022-04-09 23:59:59,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,10027,10081,10027-10081,54,2218.629957071389,2243.174892325944,24.54493525455473,EXRD
